,address,latitude,longitude,us_state,name
0,043 Mockingbird Place,39.1682,-86.5186,Indiana,"Cancott,Benetta"
1,4 Prentice Point,41.0938,-85.0707,Indiana,"Cherry,Lilyan"
2,46 Derek Junction,32.7673,-96.7776,Texas,"Benasik,Ezekiel"
3,11966 Old Shore Place,39.035,-94.3567,Missouri,"Atlay,Kennedy"
4,5 Evergreen Circle,40.7808,-73.9772,New York,"Salmen,Sanford"
5,5304 Vidon Drive,32.7887,-96.7676,Texas,"Sheach,Ricki"
6,65 Texas Avenue,39.8285,-84.2024,Ohio,"Cockitt,Haroun"
7,041 Eagle Crest Court,32.0295,-102.0915,Texas,"Bortolozzi,Tuesday"
8,72402 Annamark Terrace,38.8992,-77.0089,District of Columbia,"Eplate,Liz"
9,7 Sauthoff Circle,35.191,-94.2382,Arkansas,"Dwelley,Rina"
10,52 Hovde Alley,33.4951,-86.8059,Alabama,"Ronaldson,Giacinta"
11,31398 Meadow Valley Park,61.1089,-149.4403,Alaska,"Muir,Shelbi"
12,62559 Gateway Parkway,45.9783,-108.1945,Montana,"Ridings,Pancho"
13,5 Cascade Junction,29.4237,-98.4925,Texas,"Manley,Sharl"
14,1175 Logan Circle,43.0214,-76.1977,New York,"Willoughway,Quintus"
15,81 Macpherson Court,40.4001,-86.8602,Indiana,"Greguol,Tamara"
16,1344 Fairfield Circle,38.189,-85.6768,Kentucky,"Dives,Janeva"
17,2 Brickson Park Trail,37.9971,-87.575,Indiana,"Yeoland,Tades"
18,76146 Surrey Circle,39.5224,-119.8353,Nevada,"Wilsey,Maxim"
19,530 Valley Edge Park,39.7388,-104.4083,Colorado,"Clapston,Melicent"
20,088 Grayhawk Hill,40.3086,-76.8464,Pennsylvania,"Amerighi,Tedmund"
21,3 Annamark Hill,27.9139,-82.7157,Florida,"Foynes,Lenna"
22,740 Starling Hill,34.734,-86.5229,Alabama,"Batrim,Toddy"
23,1622 Emmet Park,37.6802,-121.9215,California,"Rees,Raoul"
24,4 Independence Lane,45.0159,-93.4719,Minnesota,"McSorley,Aurilia"
25,15 Crest Line Street,33.9909,-118.1532,California,"Boncore,Valerie"
26,502 Cardinal Drive,31.7705,-106.5048,Texas,"MacAdie,Fiorenze"
27,77 Emmet Terrace,37.5593,-77.4471,Virginia,"Andrin,Nicky"
28,51 Superior Parkway,32.7582,-97.1003,Texas,"Guillet,Adrea"
29,15282 Cottonwood Lane,28.0726,-82.559,Florida,"Gherardini,Ame"
30,6 Schlimgen Hill,28.0173,-82.7461,Florida,"Kunrad,Ruggiero"
31,37616 Fisk Terrace,38.5814,-90.2625,Missouri,"Jeandet,Reuben"
32,9239 Schmedeman Pass,43.1367,-77.6481,New York,"Barlass,Tandi"
33,239 Fallview Terrace,40.7651,-73.9858,New York,"Beardmore,Brynne"
34,36452 Morningstar Parkway,26.1097,-80.3215,Florida,"Bassilashvili,Wolfie"
35,76707 Lakewood Gardens Trail,30.0211,-94.1157,Texas,"Crowcombe,Merrick"
36,598 Lotheville Parkway,42.2399,-83.1508,Michigan,"Lowre,Langston"
37,7532 Morning Parkway,30.287,-81.3893,Florida,"Tebbit,Cordey"
38,755 Forest Way,41.119,-73.733,New York,"Trumble,Leticia"
39,05649 Scott Parkway,35.1316,-80.8577,North Carolina,"Scocroft,Derwin"
40,79 Oak Valley Road,40.3522,-78.9383,Pennsylvania,"Guirard,Emlynne"
41,797 Marcy Pass,41.613,-90.6063,Iowa,"Rennick,Archibald"
42,8844 Duke Street,35.0768,-85.3082,Tennessee,"Andrusyak,Emmery"
43,3 Pine View Plaza,27.1675,-82.381,Florida,"Revie,Pattie"
44,0446 Grayhawk Place,34.8019,-92.1894,Arkansas,"Caudrelier,Dukey"
45,96 Memorial Park,31.6948,-106.3,Texas,"Rubinchik,Brittney"
46,80399 Red Cloud Junction,29.6297,-95.4382,Texas,"Jeannenet,Clarinda"
47,72910 American Ash Alley,37.5422,-97.2871,Kansas,"Jarrelt,Sonja"
48,575 Moose Lane,38.8933,-77.0146,District of Columbia,"Duggon,Alwyn"
49,376 Saint Paul Avenue,32.4908,-92.1594,Louisiana,"Muehler,Dunstan"
50,07 Colorado Place,33.7843,-118.1157,California,"Symcock,Ambrosius"
51,1 Gina Junction,33.9443,-83.3891,Georgia,"Blew,Tymon"
52,3818 Jana Hill,41.2722,-75.8801,Pennsylvania,"Cram,Vail"
53,9150 Florence Court,36.7991,-119.8016,California,"Balfour,Kean"
54,19 Eliot Trail,32.6076,-93.7526,Louisiana,"Giacometti,Hall"
55,6 Shelley Place,45.2009,-93.8881,Minnesota,"Berling,Haley"
56,114 Melby Road,40.8171,-73.7416,New York,"Graysmark,Glori"
57,975 Clove Trail,33.6062,-117.8931,California,"Newbury,Gabi"
58,896 Anzinger Trail,26.2416,-81.8071,Florida,"Collis,Kerstin"
59,24 Mockingbird Drive,33.7843,-118.1157,California,"Burgiss,Aylmer"
60,113 Pearson Way,37.7509,-122.4153,California,"McVeighty,Rebeka"
61,66053 Oak Park,41.6525,-83.5085,Ohio,"St Ledger,Ulrike"
62,27664 Emmet Crossing,25.5584,-80.4582,Florida,"Kalkhoven,Kristal"
63,33597 Schlimgen Avenue,33.8444,-84.474,Georgia,"Lombard,Saxe"
64,7 Forest Lane,33.7866,-118.2987,California,"Escolme,Cherida"
65,2 Jana Center,40.0418,-76.3012,Pennsylvania,"Chin,Dalston"
66,77933 Bonner Avenue,37.5313,-77.4161,Virginia,"Pelfer,Jim"
67,681 Del Sol Avenue,40.2618,-76.88,Pennsylvania,"Greguoli,Nertie"
68,30814 Westport Alley,25.5584,-80.4582,Florida,"Rubartelli,Fonz"
69,823 3rd Alley,34.8661,-82.3198,South Carolina,"D'Hooge,Homerus"
70,1575 Village Place,30.0956,-81.6217,Florida,"Gossop,Faber"
71,5 Elgar Pass,43.5851,-116.2191,Idaho,"Purse,Tonie"
72,37131 Reindahl Park,39.592,-105.1328,Colorado,"Fleet,Cristine"
73,12 Tomscot Drive,36.7377,-119.7843,California,"Sugar,Artair"
74,9387 Texas Road,38.4631,-122.99,California,"Dilnot,Zolly"
75,1 Spenser Plaza,41.2722,-75.8801,Pennsylvania,"Restall,Teodorico"
76,1 Mockingbird Terrace,40.7918,-74.2452,New Jersey,"Ovise,Geri"
77,48 Atwood Circle,47.6849,-122.2968,Washington,"Scrogges,Tate"
78,26434 Atwood Road,41.613,-90.6063,Iowa,"Larcombe,Ginnie"
79,0953 Moulton Avenue,32.404,-86.2539,Alabama,"Loan,Celie"
80,8595 Marcy Trail,33.8444,-84.474,Georgia,"Chaster,Euell"
81,489 Stone Corner Crossing,37.5313,-77.4161,Virginia,"Zupa,Letti"
82,7696 Haas Alley,38.8377,-104.837,Colorado,"Grayling,Lucian"
83,9 Badeau Street,37.3811,-122.3348,California,"Solloway,Nickolas"
84,001 Prairie Rose Point,41.9705,-70.7014,Massachusetts,"D'Oyley,Adore"
